cost1,cost2,cost3,rev1,rev2,rev3
0.70286,0.70286,0.70286,-0.17728,-0.19843,-0.20649
0.70571,0.70571,0.70571,-0.17772,-0.19885,-0.20691
0.70857,0.70857,0.70857,-0.17815,-0.19927,-0.20733
0.71143,0.71143,0.71143,-0.17858,-0.19969,-0.20774
0.71429,0.71429,0.71429,-0.17901,-0.20012,-0.20816
0.71714,0.71714,0.71714,-0.17944,-0.20054,-0.20858
0.72,0.72,0.72,-0.17988,-0.20096,-0.20899
0.72286,0.72286,0.72286,-0.18031,-0.20138,-0.20941
0.72571,0.72571,0.72571,-0.18074,-0.2018,-0.20983
0.72857,0.72857,0.72857,-0.18117,-0.20222,-0.21024
0.73143,0.73143,0.73143,-0.1816,-0.20264,-0.21066
0.73429,0.73429,0.73429,-0.18204,-0.20306,-0.21108
0.73714,0.73714,0.73714,-0.18247,-0.20348,-0.21149
0.74,0.74,0.74,-0.1829,-0.2039,-0.21191
0.74286,0.74286,0.74286,-0.18333,-0.20433,-0.21233
0.74571,0.74571,0.74571,-0.18377,-0.20475,-0.21274
0.74857,0.74857,0.74857,-0.1842,-0.20517,-0.21316
0.75143,0.75143,0.75143,-0.18463,-0.20559,-0.21358
0.75429,0.75429,0.75429,-0.18506,-0.20601,-0.21399
0.75714,0.75714,0.75714,-0.18549,-0.20643,-0.21441
0.76,0.76,0.76,-0.18593,-0.20685,-0.21483
0.76286,0.76286,0.76286,-0.18636,-0.20727,-0.21524
0.76571,0.76571,0.76571,-0.18679,-0.20769,-0.21566
0.76857,0.76857,0.76857,-0.18722,-0.20811,-0.21608
0.77143,0.77143,0.77143,-0.18765,-0.20854,-0.21649
0.77429,0.77429,0.77429,-0.18809,-0.20896,-0.21691
0.77714,0.77714,0.77714,-0.18852,-0.20938,-0.21733
0.78,0.78,0.78,-0.18895,-0.2098,-0.21775
0.78286,0.78286,0.78286,-0.18938,-0.21022,-0.21816
0.78571,0.78571,0.78571,-0.18981,-0.21064,-0.21858
0.78857,0.78857,0.78857,-0.19025,-0.21106,-0.219
0.79143,0.79143,0.79143,-0.19068,-0.21148,-0.21941
0.79429,0.79429,0.79429,-0.19111,-0.2119,-0.21983
0.79714,0.79714,0.79714,-0.19154,-0.21232,-0.22025
0.8,0.8,0.8,-0.19198,-0.21275,-0.22066
0.80286,0.80286,0.80286,-0.19241,-0.21317,-0.22108
0.80571,0.80571,0.80571,-0.19284,-0.21359,-0.2215
0.80857,0.80857,0.80857,-0.19327,-0.21401,-0.22191
0.81143,0.81143,0.81143,-0.1937,-0.21443,-0.22233
0.81429,0.81429,0.81429,-0.19414,-0.21485,-0.22275
0.81714,0.81714,0.81714,-0.19457,-0.21527,-0.22316
0.82,0.82,0.82,-0.195,-0.21569,-0.22358
0.82286,0.82286,0.82286,-0.19543,-0.21611,-0.224
0.82571,0.82571,0.82571,-0.19586,-0.21653,-0.22441
0.82857,0.82857,0.82857,-0.1963,-0.21696,-0.22483
0.83143,0.83143,0.83143,-0.19673,-0.21738,-0.22525
0.83429,0.83429,0.83429,-0.19716,-0.2178,-0.22566
0.83714,0.83714,0.83714,-0.19759,-0.21822,-0.22608
0.84,0.84,0.84,-0.19802,-0.21864,-0.2265
0.84286,0.84286,0.84286,-0.19846,-0.21906,-0.22691
0.84571,0.84571,0.84571,-0.19889,-0.21948,-0.22733
0.84857,0.84857,0.84857,-0.19932,-0.2199,-0.22775
0.85143,0.85143,0.85143,-0.19975,-0.22032,-0.22816
0.85429,0.85429,0.85429,-0.20019,-0.22074,-0.22858
0.85714,0.85714,0.85714,-0.20062,-0.22116,-0.229
0.86,0.86,0.86,-0.20105,-0.22159,-0.22941
0.86286,0.86286,0.86286,-0.20148,-0.22201,-0.22983
0.86571,0.86571,0.86571,-0.20191,-0.22243,-0.23025
0.86857,0.86857,0.86857,-0.20235,-0.22285,-0.23066
0.87143,0.87143,0.87143,-0.20278,-0.22327,-0.23108
0.87429,0.87429,0.87429,-0.20321,-0.22369,-0.2315
0.87714,0.87714,0.87714,-0.20364,-0.22411,-0.23192
0.88,0.88,0.88,-0.20407,-0.22453,-0.23233
0.88286,0.88286,0.88286,-0.20451,-0.22495,-0.23275
0.88571,0.88571,0.88571,-0.20494,-0.22537,-0.23317
0.88857,0.88857,0.88857,-0.20537,-0.2258,-0.23358
0.89143,0.89143,0.89143,-0.2058,-0.22622,-0.234
0.89429,0.89429,0.89429,-0.20623,-0.22664,-0.23442
0.89714,0.89714,0.89714,-0.20667,-0.22706,-0.23483
0.9,0.9,0.9,-0.2071,-0.22748,-0.23525
